,CollegePlayerType,Plane,Connection,Rotation,BatSpeed,RotationalAcceleration,OnPlaneEfficiency,Power,TimeToContact,PeakHandSpeed,H1,HH,armVelo,exitVelo
431,Starter,51.94492753623189,53.16811594202898,55.69565217391305,60.04231884057972,10.475652173913042,65.64927536231885,2.2110144927536233,0.16666666666666666,18.00086956521739,2.8,11.0,69.5,63.5
432,Starter,51.94492753623189,53.16811594202898,55.69565217391305,60.04231884057972,10.475652173913042,65.64927536231885,2.2110144927536233,0.16666666666666666,18.00086956521739,2.7,11.7,62.0,65.5
433,Impact Player,51.94492753623189,53.16811594202898,55.69565217391305,60.04231884057972,10.475652173913042,65.64927536231885,2.2110144927536233,0.16666666666666666,18.00086956521739,2.8,11.6,63.0,69.0
434,Starter,51.94492753623189,53.16811594202898,55.69565217391305,60.04231884057972,10.475652173913042,65.64927536231885,2.2110144927536233,0.16666666666666666,18.00086956521739,2.9,12.1,60.0,60.5
435,Starter,51.94492753623189,53.16811594202898,55.69565217391305,60.04231884057972,10.475652173913042,65.64927536231885,2.2110144927536233,0.16666666666666666,18.00086956521739,3.01,11.93,64.0,60.61
436,Starter,53.0,47.0,73.0,57.6,17.1,68.0,2.09,0.16,18.5,3.55,14.28,57.333333333333336,69.7
437,Starter,51.94492753623189,53.16811594202898,55.69565217391305,60.04231884057972,10.475652173913042,65.64927536231885,2.2110144927536233,0.16666666666666666,18.00086956521739,3.33,12.67,54.0,65.66
438,Impact Player,51.94492753623189,53.16811594202898,55.69565217391305,60.04231884057972,10.475652173913042,65.64927536231885,2.2110144927536233,0.16666666666666666,18.00086956521739,3.0,12.06,60.5,69.74
439,Role Player,52.0,46.0,47.0,59.6,8.2,67.0,2.01,0.17,17.2,3.31,12.84,58.0,71.7
440,Impact Player,51.94492753623189,53.16811594202898,55.69565217391305,60.04231884057972,10.475652173913042,65.64927536231885,2.2110144927536233,0.16666666666666666,18.00086956521739,3.13,11.83,62.5,67.65
441,Role Player,54.0,56.0,75.0,55.3,17.8,69.0,1.95,0.15,19.5,3.09,11.84,54.0,63.62
442,Role Player,51.94492753623189,53.16811594202898,55.69565217391305,60.04231884057972,10.475652173913042,65.64927536231885,2.2110144927536233,0.16666666666666666,18.00086956521739,3.31,13.27,57.0,67.69
443,Role Player,51.94492753623189,53.16811594202898,55.69565217391305,60.04231884057972,10.475652173913042,65.64927536231885,2.2110144927536233,0.16666666666666666,18.00086956521739,3.08,12.2,61.5,68.66
444,Role Player,51.94492753623189,53.16811594202898,55.69565217391305,60.04231884057972,10.475652173913042,65.64927536231885,2.2110144927536233,0.16666666666666666,18.00086956521739,3.03,11.49,59.5,74.75
445,Role Player,51.94492753623189,53.16811594202898,55.69565217391305,60.04231884057972,10.475652173913042,65.64927536231885,2.2110144927536233,0.16666666666666666,18.00086956521739,2.95,11.64,57.25,65.64
446,Impact Player,51.94492753623189,53.16811594202898,55.69565217391305,60.04231884057972,10.475652173913042,65.64927536231885,2.2110144927536233,0.16666666666666666,18.00086956521739,3.1,12.0,58.0,71.0
447,Impact Player,51.94492753623189,53.16811594202898,55.69565217391305,60.04231884057972,10.475652173913042,65.64927536231885,2.2110144927536233,0.16666666666666666,18.00086956521739,2.94,11.33,62.0,74.0
448,Impact Player,51.94492753623189,53.16811594202898,55.69565217391305,60.04231884057972,10.475652173913042,65.64927536231885,2.2110144927536233,0.16666666666666666,18.00086956521739,2.97,11.63,52.5,71.0
449,Impact Player,51.94492753623189,53.16811594202898,55.69565217391305,60.04231884057972,10.475652173913042,65.64927536231885,2.2110144927536233,0.16666666666666666,18.00086956521739,2.995,11.9,58.5,69.0
